url,gsc_issue,last_crawled,action,status,notes
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-fk5h6fdn99h.js?dpl=dpl_3U5EoPYGRxBSizZkPScYa6HgoHT6,"Indexed, though blocked by robots.txt",2026-05-18,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-fk5h6fdn99h.js?dpl=dpl_4yedP9rDizVG72RBtM2TUrFoNMpG,Blocked by robots.txt,2026-05-18,phase1_headers_removal,known,Next.js chunk; X-Robots-Tag + GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-fk5h6fdn99h.js?dpl=dpl_ABRVsspRLtyaVtpPcbfNxJuErAni,"Indexed, though blocked by robots.txt",2026-05-17,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-fk5h6fdn99h.js?dpl=dpl_GjFS1QBZvmTbwS1NczYsot9dwWvB,"Indexed, though blocked by robots.txt",2026-05-18,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-fk5h6fdn99h.js?dpl=dpl_H6kh76ZMP7KqpS5mQw3pMht1a5uU,"Indexed, though blocked by robots.txt",2026-05-18,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-xws8l96qk.n.js?dpl=dpl_3U5EoPYGRxBSizZkPScYa6HgoHT6,"Indexed, though blocked by robots.txt",2026-05-18,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-xws8l96qk.n.js?dpl=dpl_4yedP9rDizVG72RBtM2TUrFoNMpG,"Indexed, though blocked by robots.txt",2026-05-18,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-xws8l96qk.n.js?dpl=dpl_9jPYWpDScYTE3Kz45g6h66Ki5wWQ,Blocked by robots.txt,2026-05-02,phase1_headers_removal,known,Next.js chunk; X-Robots-Tag + GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-xws8l96qk.n.js?dpl=dpl_ABRVsspRLtyaVtpPcbfNxJuErAni,"Indexed, though blocked by robots.txt",2026-05-17,phase1_headers_removal,known,Next.js chunk; GSC prefix removal
https://www.nationalparksexplorerusa.com/_next/static/chunks/0-xws8l96qk.n.js?dpl=dpl_FAZAYVLvGeaP4H2GX1G6VYbjN4a1,Blocked by robots.txt,2026-04-26,phase1_headers_removal,known,Next.js chunk; X-Robots-Tag + GSC prefix removal
